env,episode,return,epsilon
3,0,20.12438499450682,0.01
7,0,65.27607269287117,0.01
13,0,24.335952758789038,0.01
1,0,72.01790008544924,0.01
2,0,21.049163818359375,0.01
4,0,114.35117950439458,0.01
5,0,90.34142608642591,0.01
6,0,61.95909423828138,0.01
9,0,39.62266845703125,0.01
10,0,43.79608001708989,0.01
11,0,4.482748413085906,0.01
12,0,49.87234497070318,0.01
14,0,107.34490661621112,0.01
16,0,9.193826293945314,0.01
19,0,98.32957763671885,0.01
8,0,10.672367858886691,0.01
15,0,61.24751586914066,0.01
17,0,64.87529907226572,0.01
18,0,6.2901145935058596,0.01
0,0,33.09461059570318,0.01
3,1,51.610101318359405,0.01
1,1,57.03637611389159,0.01
14,1,76.6223096466065,0.01
2,1,41.8139785766601,0.01
5,1,12.090689086914063,0.01
7,1,86.11548461914072,0.01
12,1,42.00877685546877,0.01
13,1,33.26361236572265,0.01
4,1,60.08188266754156,0.01
6,1,85.11691284179688,0.01
8,1,40.3097076416016,0.01
9,1,44.40071716308591,0.01
10,1,20.479522705078086,0.01
11,1,14.84863891601557,0.01
15,1,36.54006347656251,0.01
16,1,47.68097305297854,0.01
17,1,61.16625976562502,0.01
18,1,74.03364257812511,0.01
19,1,4.04100341796873,0.01
0,1,57.86621551513672,0.01
10,2,15.572266311645507,0.01
19,2,64.51611358642592,0.01
5,2,83.22642311096202,0.01
3,2,105.19963127136236,0.01
1,2,49.84547271728524,0.01
14,2,45.10753250122072,0.01
9,2,46.14042770385745,0.01
17,2,46.112254829406744,0.01
2,2,46.39756011962905,0.01
7,2,-4.889497375488291,0.01
13,2,62.075576782226754,0.01
4,2,87.71843566894545,0.01
6,2,121.45491790771497,0.01
11,2,0.1712326049804831,0.01
12,2,92.20175781250006,0.01
16,2,-3.749026489257847,0.01
8,2,20.273553466796873,0.01
15,2,21.10773620605464,0.01
18,2,6.103016662597659,0.01
0,2,10.900317382812506,0.01
10,3,-9.805789184570337,0.01
19,3,84.93150024414078,0.01
5,3,9.728494262695305,0.01
1,3,16.108524494171153,0.01
3,3,72.65166320800786,0.01
15,3,76.26052482604979,0.01
14,3,-0.9440612792968727,0.01
9,3,7.000041198730381,0.01
17,3,26.806404113769478,0.01
2,3,116.78954715728756,0.01
7,3,7.176190185546866,0.01
13,3,31.945187377929653,0.01
4,3,60.49984283447269,0.01
6,3,18.35953521728518,0.01
11,3,23.47966003417971,0.01
12,3,0.35931091308594015,0.01
16,3,65.74438018798824,0.01
8,3,55.97960510253911,0.01
18,3,13.33535308837893,0.01
1,4,51.57224315643314,0.01
4,4,21.01544826507566,0.01
18,4,46.533805389404336,0.01
9,4,49.90551044464113,0.01
18,5,56.604357585906975,0.01
8,4,117.56975242614762,0.01
2,4,51.46748962402348,0.01
14,4,55.044505310058675,0.01
16,4,50.77077941894541,0.01
1,4,-6.388798141479461,0.01
3,4,115.54698638916031,0.01
5,4,43.67478790283208,0.01
6,4,37.07234344482416,0.01
7,4,83.53599853515647,0.01
10,4,61.29251861572269,0.01
11,4,60.462872314453165,0.01
12,4,80.43809814453131,0.01
13,4,-4.127554321289079,0.01
15,4,88.13390884399429,0.01
17,4,94.86806945800797,0.01
19,4,105.59286041259777,0.01
0,3,54.35193176269534,0.01
4,5,11.172808837890607,0.01
7,5,49.497256507873544,0.01
2,5,63.66384998321532,0.01
1,5,136.79312179565432,0.01
14,5,107.93096130371103,0.01
9,5,37.86677360534668,0.01
15,5,106.1027013778688,0.01
18,6,43.07208251953129,0.01
6,5,53.37450691223145,0.01
8,5,60.94611968994146,0.01
3,5,65.7782432937623,0.01
2,6,22.727701950073243,0.01
16,5,42.462422714233405,0.01
1,6,49.395872097015356,0.01
10,5,84.19446868896486,0.01
11,5,58.59962768554695,0.01
12,5,79.13178634643569,0.01
13,5,49.88613128662108,0.01
17,5,127.5838249206545,0.01
19,5,45.42419815063478,0.01
5,5,135.91237335205068,0.01
0,4,117.76106262207036,0.01
16,6,1.1742454910278282,0.01
17,6,43.60127902984617,0.01
4,6,77.61594701766988,0.01
7,6,81.10960769653332,0.01
18,7,40.532127876281805,0.01
9,6,62.05044727325446,0.01
8,6,73.19737434387218,0.01
2,7,22.87277580261231,0.01
19,6,63.132983741760285,0.01
14,6,94.09117813110367,0.01
15,6,76.39676208496113,0.01
5,6,91.04042194366468,0.01
0,5,38.54327339172365,0.01
6,6,59.40392456054692,0.01
8,7,25.86678653717043,0.01
3,6,44.586431884765666,0.01
1,7,87.25796203613282,0.01
10,6,118.2076248168947,0.01
11,6,47.34734039306643,0.01
12,6,9.436788940429711,0.01
13,6,53.27145919799806,0.01
4,7,129.8408337783815,0.01
16,7,25.586709594726567,0.01
17,7,116.10829437255866,0.01
3,7,38.42792804718017,0.01
19,7,43.699247627258366,0.01
16,8,61.850066719055214,0.01
7,7,63.0210666656495,0.01
9,7,84.3256009674072,0.01
18,8,105.62055816650403,0.01
18,9,22.864531784057633,0.01
2,8,33.35755157470715,0.01
